season,sport,division,stage,rank,team,wins,losses,pct,points,source_page
2003-2004,Table Tennis,Men's,Standings,2,UST,6.0,1.0,,13,IMG_0748
2003-2004,Table Tennis,Men's,Standings,2,UP,6.0,1.0,,13,IMG_0749
2003-2004,Table Tennis,Men's,Standings,3,UE,5.0,2.0,,12,IMG_0748
2003-2004,Table Tennis,Men's,Standings,4,FEU,4.0,3.0,,11,IMG_0748
2003-2004,Table Tennis,Men's,Standings,4,DLSU,4.0,3.0,,11,IMG_0749
2003-2004,Table Tennis,Men's,Standings,5,DLSU,3.0,4.0,,10,IMG_0748
2003-2004,Table Tennis,Men's,Standings,5,FEU,3.0,4.0,,10,IMG_0749
2003-2004,Table Tennis,Men's,Standings,6,AdU,2.0,5.0,,9,IMG_0748
2003-2004,Table Tennis,Men's,Standings,7,ADMU,1.0,6.0,,8,IMG_0748
2003-2004,Table Tennis,Men's,Standings,8,NU,0.0,7.0,,7,IMG_0748
2003-2004,Table Tennis,Women's,Standings,1,UST,7.0,0.0,,14,IMG_0751
2003-2004,Table Tennis,Women's,Standings,1,FEU,7.0,0.0,,14,IMG_0752
2003-2004,Table Tennis,Women's,Standings,2,FEU,6.0,1.0,,13,IMG_0751
2003-2004,Table Tennis,Women's,Standings,2,UST,6.0,1.0,,13,IMG_0752
2003-2004,Table Tennis,Women's,Standings,3,AdU,4.0,3.0,,11,IMG_0751
2003-2004,Table Tennis,Women's,Standings,3,UP,4.0,3.0,,11,IMG_0752
2003-2004,Table Tennis,Women's,Standings,4,UP,4.0,3.0,,11,IMG_0751
2003-2004,Table Tennis,Women's,Standings,4,AdU,4.0,3.0,,11,IMG_0752
2003-2004,Table Tennis,Women's,Standings,5,DLSU,3.0,4.0,,10,IMG_0751
2003-2004,Table Tennis,Women's,Standings,6,ADMU,2.0,5.0,,9,IMG_0751
2003-2004,Table Tennis,Women's,Standings,6,UE,2.0,5.0,,9,IMG_0752
2003-2004,Table Tennis,Women's,Standings,7,UE,2.0,5.0,,9,IMG_0751
2003-2004,Table Tennis,Women's,Standings,7,ADMU,2.0,5.0,,9,IMG_0752
2003-2004,Table Tennis,Women's,Standings,8,NU,0.0,7.0,,7,IMG_0751
2003-2004,Unknown,Boys,Elimination Round,1,DLSU,8.0,0.0,,,IMG_0785
2003-2004,Unknown,Boys,Elimination Round,2,UE,5.0,3.0,,,IMG_0785
2003-2004,Unknown,Boys,Elimination Round,3,UST,5.0,3.0,,,IMG_0785
2003-2004,Unknown,Boys,Elimination Round,4,ADMU,2.0,6.0,,,IMG_0785
2003-2004,Unknown,Boys,Elimination Round,5,UP,0.0,8.0,,,IMG_0785
2003-2004,Unknown,Girls,Elimination Round,1,UST,6.0,0.0,,,IMG_0787
2003-2004,Unknown,Girls,Elimination Round,2,UE,4.0,2.0,,,IMG_0787
2003-2004,Unknown,Girls,Elimination Round,3,DLSU,2.0,4.0,,,IMG_0787
2003-2004,Unknown,Girls,Elimination Round,4,UP,0.0,6.0,,,IMG_0787
2003-2004,Unknown,Girls,Final Standings,1,UST,6.0,0.0,,,IMG_0787
2003-2004,Unknown,Girls,Final Standings,2,UE,4.0,2.0,,,IMG_0787
2003-2004,Unknown,Girls,Final Standings,3,DLSU,2.0,4.0,,,IMG_0787
2003-2004,Unknown,Girls,Final Standings,4,UP,0.0,6.0,,,IMG_0787
2003-2004,Unknown,Juniors,Final Standings,1,UE,3.0,1.0,,,IMG_0753
2003-2004,Unknown,Juniors,Final Standings,2,UP,1.0,3.0,,,IMG_0753
2003-2004,Unknown,Juniors,Final Standings,3,UST,3.0,1.0,,,IMG_0753
2003-2004,Unknown,Juniors,Final Standings,4,ADMU,3.0,1.0,,,IMG_0753
2003-2004,Unknown,Juniors,Final Standings,5,NU,,,,,IMG_0753
2003-2004,Unknown,Juniors,Final Standings,6,DLSU,,,,,IMG_0753
2003-2004,Unknown,Juniors,Standings,1,UE,3.0,1.0,,20,IMG_0753
2003-2004,Unknown,Juniors,Standings,1,UST,3.0,1.0,,,IMG_0766
2003-2004,Unknown,Juniors,Standings,2,UP,1.0,3.0,,18,IMG_0753
2003-2004,Unknown,Juniors,Standings,2,ADMU,3.0,1.0,,,IMG_0766
2003-2004,Unknown,Juniors,Standings,3,UST,3.0,1.0,,16,IMG_0753
2003-2004,Unknown,Juniors,Standings,3,UE,3.0,1.0,,,IMG_0766
2003-2004,Unknown,Juniors,Standings,4,ADMU,3.0,1.0,,14,IMG_0753
2003-2004,Unknown,Juniors,Standings,4,UP,1.0,3.0,,,IMG_0766
2003-2004,Unknown,Juniors,Standings,5,NU,,,,12,IMG_0753
2003-2004,Unknown,Juniors,Standings,5,DLSZ,0.0,4.0,,,IMG_0766
2003-2004,Unknown,Juniors,Standings,6,DLSU,,,,10,IMG_0753
2003-2004,Unknown,Men's,Championship Round,1,UP,2.0,0.0,,,IMG_0589
2003-2004,Unknown,Men's,Championship Round,1,DLSU,2.0,0.0,,,IMG_0775
2003-2004,Unknown,Men's,Championship Round,2,UST,0.0,2.0,,,IMG_0589
2003-2004,Unknown,Men's,Championship Round,2,UP,0.0,2.0,,,IMG_0775
2003-2004,Unknown,Men's,Elimination Round,1,DLSU,13.0,1.0,,,IMG_0775
2003-2004,Unknown,Men's,Elimination Round,2,UP,11.0,3.0,,,IMG_0775
2003-2004,Unknown,Men's,Elimination Round,3,FEU,11.0,3.0,,,IMG_0775
2003-2004,Unknown,Men's,Elimination Round,4,AdU,7.0,7.0,,,IMG_0775
2003-2004,Unknown,Men's,Elimination Round,5,UST,7.0,7.0,,,IMG_0775
2003-2004,Unknown,Men's,Elimination Round,6,UE,4.0,10.0,,,IMG_0775
2003-2004,Unknown,Men's,Elimination Round,7,NU,3.0,11.0,,,IMG_0775
2003-2004,Unknown,Men's,Elimination Round,8,ADMU,0.0,14.0,,,IMG_0775
2003-2004,Unknown,Men's,Final Four,1,DLSU,1.0,0.0,,,IMG_0775
2003-2004,Unknown,Men's,Final Four,2,UP,1.0,0.0,,,IMG_0775
2003-2004,Unknown,Men's,Final Four,3,FEU,0.0,1.0,,,IMG_0775
2003-2004,Unknown,Men's,Final Four,4,AdU,0.0,1.0,,,IMG_0775
2003-2004,Unknown,Men's,Final Standings,1,UST,0.0,2.0,,,IMG_0747
2003-2004,Unknown,Men's,Final Standings,2,UP,2.0,0.0,,,IMG_0747
2003-2004,Unknown,Men's,Final Standings,3,UE,0.0,8.0,,,IMG_0747
2003-2004,Unknown,Men's,Final Standings,4,DLSU,7.0,1.0,,,IMG_0747
2003-2004,Unknown,Men's,Final Standings,5,FEU,7.0,7.0,,,IMG_0747
2003-2004,Unknown,Men's,Final Standings,6,AdU,4.0,10.0,,,IMG_0747
2003-2004,Unknown,Men's,Final Standings,7,ADMU,2.0,6.0,,,IMG_0747
2003-2004,Unknown,Men's,Final Standings,8,NU,0.0,14.0,,,IMG_0747
2003-2004,Unknown,Men's,Standings,1,DLSU,7.0,1.0,,232,IMG_0621
2003-2004,Unknown,Men's,Standings,1,UST,0.0,2.0,,,IMG_0729
2003-2004,Unknown,Men's,Standings,1,UST\,13.0,1.0,,27,IMG_0747
2003-2004,Unknown,Men's,Standings,1,UE,0.0,8.0,,,IMG_0768
2003-2004,Unknown,Men's,Standings,2,FEU,7.0,7.0,,170,IMG_0621
2003-2004,Unknown,Men's,Standings,2,UP,2.0,0.0,,,IMG_0729
2003-2004,Unknown,Men's,Standings,2,UST,7.0,1.0,,,IMG_0737
2003-2004,Unknown,Men's,Standings,2,DLSU,7.0,1.0,,,IMG_0740
2003-2004,Unknown,Men's,Standings,2,UP\,13.0,1.0,,27,IMG_0747
2003-2004,Unknown,Men's,Standings,2,UE,0.0,8.0,,,IMG_0768
2003-2004,Unknown,Men's,Standings,2,ADMU,2.0,6.0,,,IMG_0768
2003-2004,Unknown,Men's,Standings,3,NU,0.0,14.0,,239,IMG_0621
2003-2004,Unknown,Men's,Standings,3,DLSU,7.0,1.0,,,IMG_0729
2003-2004,Unknown,Men's,Standings,3,UP,4.0,4.0,,,IMG_0737
2003-2004,Unknown,Men's,Standings,3,UE,10.0,4.0,,24,IMG_0747
2003-2004,Unknown,Men's,Standings,3,UST,0.0,2.0,,,IMG_0768
2003-2004,Unknown,Men's,Standings,3,ADMU,2.0,6.0,,,IMG_0768
2003-2004,Unknown,Men's,Standings,3,FEU,7.0,7.0,,,IMG_0768
2003-2004,Unknown,Men's,Standings,4,UE,0.0,8.0,,238,IMG_0621
2003-2004,Unknown,Men's,Standings,4,ADMU,2.0,6.0,,,IMG_0737
2003-2004,Unknown,Men's,Standings,4,DLSU,7.0,7.0,,21,IMG_0747
2003-2004,Unknown,Men's,Standings,4,FEU,2.0,3.0,,,IMG_0769
2003-2004,Unknown,Men's,Standings,4,UP,2.0,3.0,,,IMG_0770
2003-2004,Unknown,Men's,Standings,5,UE,0.0,8.0,,163,IMG_0621
2003-2004,Unknown,Men's,Standings,5,ADMU,2.0,6.0,,,IMG_0729
2003-2004,Unknown,Men's,Standings,5,FEU,7.0,7.0,,21,IMG_0747
2003-2004,Unknown,Men's,Standings,5,UP,1.0,4.0,,,IMG_0769
2003-2004,Unknown,Men's,Standings,5,DLSU,7.0,1.0,,,IMG_0775
2003-2004,Unknown,Men's,Standings,6,ADMU,2.0,6.0,,159,IMG_0621
2003-2004,Unknown,Men's,Standings,6,UST,0.0,2.0,,,IMG_0740
2003-2004,Unknown,Men's,Standings,6,AdU,4.0,10.0,,18,IMG_0747
2003-2004,Unknown,Men's,Standings,6,FEU,0.0,5.0,,,IMG_0769
2003-2004,Unknown,Men's,Standings,6,UP,0.0,5.0,,,IMG_0770
2003-2004,Unknown,Men's,Standings,7,ADMU,2.0,6.0,,129,IMG_0621
2003-2004,Unknown,Men's,Standings,7,UP,2.0,0.0,,,IMG_0775
2003-2004,Unknown,Men's,Standings,8,ADMU,2.0,6.0,,162,IMG_0621
2003-2004,Unknown,Men's,Standings,8,NU,0.0,14.0,,14,IMG_0747
2003-2004,Unknown,Men's,Standings,8,DLSU,7.0,1.0,,,IMG_0775
2003-2004,Unknown,Men's,Standings,9,ADMU,2.0,6.0,,173,IMG_0621
2003-2004,Unknown,Men's,Standings,10,AdU,4.0,10.0,,213,IMG_0621
2003-2004,Unknown,Men's,Standings,11,UST,0.0,2.0,,166,IMG_0621
2003-2004,Unknown,Men's,Standings,11,DLSU,7.0,1.0,,,IMG_0740
2003-2004,Unknown,Men's,Standings,12,UP,2.0,0.0,,85,IMG_0621
2003-2004,Unknown,Men's,Standings,13,AdU,4.0,10.0,,140,IMG_0621
2003-2004,Unknown,Men's,Standings,14,UE,0.0,8.0,,148,IMG_0621
2003-2004,Unknown,Men's,Standings,15,FEU,7.0,7.0,,99,IMG_0621
2003-2004,Unknown,Men's,Standings,15,ADMU,2.0,6.0,,,IMG_0740
2003-2004,Unknown,Men's,Standings,16,UE,0.0,8.0,,135,IMG_0621
2003-2004,Unknown,Men's,Standings,17,NU,0.0,14.0,,145,IMG_0621
2003-2004,Unknown,Men's,Standings,18,FEU,7.0,7.0,,120,IMG_0621
2003-2004,Unknown,Men's,Standings,19,ADMU,2.0,6.0,,102,IMG_0621
2003-2004,Unknown,Men's,Standings,20,FEU,7.0,7.0,,94,IMG_0621
2003-2004,Unknown,Men's,Standings,20,UST,0.0,2.0,,,IMG_0740
2003-2004,Unknown,Men's,Standings,21,FEU,7.0,7.0,,136,IMG_0621
2003-2004,Unknown,Men's,Standings,22,UP,2.0,0.0,,121,IMG_0621
2003-2004,Unknown,Men's,Standings,23,UST,0.0,2.0,,123,IMG_0621
2003-2004,Unknown,Men's,Standings,24,DLSU,7.0,1.0,,156,IMG_0621
2003-2004,Unknown,Men's,Standings,24,UP,2.0,0.0,,,IMG_0740
2003-2004,Unknown,Men's,Standings,25,UP,2.0,0.0,,149,IMG_0621
2003-2004,Unknown,Men's,Standings,26,NU,0.0,14.0,,162,IMG_0621
2003-2004,Unknown,Men's,Standings,27,DLSU,7.0,1.0,,128,IMG_0621
2003-2004,Unknown,Men's,Standings,28,NU,0.0,14.0,,129,IMG_0621
2003-2004,Unknown,Men's,Standings,29,UE,0.0,8.0,,81,IMG_0621
2003-2004,Unknown,Men's,Standings,29,DLSU,7.0,1.0,,,IMG_0740
2003-2004,Unknown,Men's,Standings,30,DLSU,7.0,1.0,,116,IMG_0621
2003-2004,Unknown,Men's,Standings,31,UST,0.0,2.0,,118,IMG_0621
2003-2004,Unknown,Men's,Standings,32,AdU,4.0,10.0,,84,IMG_0621
2003-2004,Unknown,Men's,Standings,33,UST,0.0,2.0,,132,IMG_0621
2003-2004,Unknown,Men's,Standings,33,UP,2.0,0.0,,,IMG_0740
2003-2004,Unknown,Men's,Standings,34,FEU,7.0,7.0,,76,IMG_0621
2003-2004,Unknown,Men's,Standings,35,UP,2.0,0.0,,135,IMG_0621
2003-2004,Unknown,Men's,Standings,36,FEU,7.0,7.0,,89,IMG_0621
2003-2004,Unknown,Men's,Standings,37,UP,2.0,0.0,,103,IMG_0621
2003-2004,Unknown,Men's,Standings,38,DLSU,7.0,1.0,,87,IMG_0621
2003-2004,Unknown,Men's,Standings,39,UE,0.0,8.0,,69,IMG_0621
2003-2004,Unknown,Men's,Standings,40,UP,2.0,0.0,,93,IMG_0621
2003-2004,Unknown,Men's,Standings,41,UP,2.0,0.0,,111,IMG_0621
2003-2004,Unknown,Men's,Standings,42,DLSU,7.0,1.0,,64,IMG_0621
2003-2004,Unknown,Men's,Standings,43,DLSU,7.0,1.0,,55,IMG_0621
2003-2004,Unknown,Men's,Standings,44,UST,0.0,2.0,,111,IMG_0621
2003-2004,Unknown,Men's,Standings,45,ADMU,2.0,6.0,,62,IMG_0621
2003-2004,Unknown,Men's,Standings,46,DLSU,7.0,1.0,,71,IMG_0621
2003-2004,Unknown,Women's,Elimination Round,1,FEU,13.0,1.0,,,IMG_0779
2003-2004,Unknown,Women's,Elimination Round,2,UST,12.0,2.0,,,IMG_0779
2003-2004,Unknown,Women's,Elimination Round,3,DLSU,11.0,3.0,,,IMG_0779
2003-2004,Unknown,Women's,Elimination Round,4,UE,8.0,6.0,,,IMG_0779
2003-2004,Unknown,Women's,Elimination Round,5,UP,5.0,9.0,,,IMG_0779
2003-2004,Unknown,Women's,Elimination Round,6,ADMU,4.0,10.0,,,IMG_0779
2003-2004,Unknown,Women's,Elimination Round,7,AdU,3.0,11.0,,,IMG_0779
2003-2004,Unknown,Women's,Elimination Round,8,NU,0.0,14.0,,,IMG_0779
2003-2004,Unknown,Women's,Final Standings,1,UST,5.0,0.0,,,IMG_0750
2003-2004,Unknown,Women's,Final Standings,1,DLSU,1.0,4.0,,,IMG_0779
2003-2004,Unknown,Women's,Final Standings,2,FEU,1.0,4.0,,,IMG_0750
2003-2004,Unknown,Women's,Final Standings,3,UP,3.0,2.0,,,IMG_0750
2003-2004,Unknown,Women's,Final Standings,3,UST,5.0,0.0,,,IMG_0779
2003-2004,Unknown,Women's,Final Standings,4,AdU,3.0,11.0,,,IMG_0750
2003-2004,Unknown,Women's,Final Standings,4,UE,4.0,1.0,,,IMG_0779
2003-2004,Unknown,Women's,Final Standings,5,DLSU,1.0,4.0,,,IMG_0750
2003-2004,Unknown,Women's,Final Standings,5,UP,3.0,2.0,,,IMG_0779
2003-2004,Unknown,Women's,Final Standings,6,UE,4.0,1.0,,,IMG_0750
2003-2004,Unknown,Women's,Final Standings,6,ADMU,1.0,4.0,,,IMG_0779
2003-2004,Unknown,Women's,Final Standings,7,ADMU,1.0,4.0,,,IMG_0750
2003-2004,Unknown,Women's,Final Standings,7,AdU,3.0,11.0,,,IMG_0779
2003-2004,Unknown,Women's,Final Standings,8,NU,0.0,14.0,,,IMG_0750
2003-2004,Unknown,Women's,Standings,0,ADMU,0.0,5.0,,,IMG_0772
2003-2004,Unknown,Women's,Standings,1,UP,3.0,2.0,,,IMG_0687
2003-2004,Unknown,Women's,Standings,1,UE,4.0,1.0,,,IMG_0687
2003-2004,Unknown,Women's,Standings,1,UST\,,,,27,IMG_0750
2003-2004,Unknown,Women's,Standings,1,ADMU,1.0,4.0,,,IMG_0772
2003-2004,Unknown,Women's,Standings,1,UST,5.0,0.0,,,IMG_0772
2003-2004,Unknown,Women's,Standings,2,UST,5.0,0.0,,,IMG_0687
2003-2004,Unknown,Women's,Standings,2,FEU,1.0,4.0,,,IMG_0687
2003-2004,Unknown,Women's,Standings,2,FEU\,,,,27,IMG_0750
2003-2004,Unknown,Women's,Standings,2,DLSU,1.0,4.0,,,IMG_0772
2003-2004,Unknown,Women's,Standings,2,UE,4.0,1.0,,,IMG_0772
2003-2004,Unknown,Women's,Standings,2,UP,4.0,1.0,,,IMG_0772
2003-2004,Unknown,Women's,Standings,3,FEU,1.0,4.0,,,IMG_0687
2003-2004,Unknown,Women's,Standings,3,UST,5.0,0.0,,,IMG_0687
2003-2004,Unknown,Women's,Standings,3,UP,3.0,2.0,,22,IMG_0750
2003-2004,Unknown,Women's,Standings,3,ADMU,3.0,3.0,,,IMG_0772
2003-2004,Unknown,Women's,Standings,3,UE,3.0,2.0,,,IMG_0772
2003-2004,Unknown,Women's,Standings,4,ADMU,1.0,4.0,,,IMG_0687
2003-2004,Unknown,Women's,Standings,4,UP,3.0,2.0,,,IMG_0687
2003-2004,Unknown,Women's,Standings,4,AdU,3.0,11.0,,22,IMG_0750
2003-2004,Unknown,Women's,Standings,4,DLSU,2.0,4.0,,,IMG_0772
2003-2004,Unknown,Women's,Standings,4,FEU,2.0,3.0,,,IMG_0772
2003-2004,Unknown,Women's,Standings,5,UE,4.0,1.0,,,IMG_0687
2003-2004,Unknown,Women's,Standings,5,ADMU,1.0,4.0,,,IMG_0687
2003-2004,Unknown,Women's,Standings,5,DLSU,1.0,4.0,,20,IMG_0750
2003-2004,Unknown,Women's,Standings,6,DLSU,1.0,4.0,,,IMG_0687
2003-2004,Unknown,Women's,Standings,6,UE,4.0,1.0,,18,IMG_0750
2003-2004,Unknown,Women's,Standings,6,FEU,0.0,5.0,,,IMG_0772
2003-2004,Unknown,Women's,Standings,7,ADMU,1.0,4.0,,18,IMG_0750
2003-2004,Unknown,Women's,Standings,8,NU,0.0,14.0,,14,IMG_0750
2003-2004,Volleyball,Women's,Standings,1,UST,,,,,IMG_0784
2003-2004,Volleyball,Women's,Standings,2,FEU,,,,,IMG_0784
